,sample,he-score-min,ground-truth,generated-descrip,model,suspect
6,15303694d5d63631,2,This green dashboard icon depicts a key with and exclamation mark on top.,This dashboard icon depicts a green key symbol with an exclamation mark inside it.,gpt-4,
8,1852e4b1e8e8b2b0,2,This gray dashboard icon depicts stylized representations of two vehicles. The front of one vehicle is close to the rear of the other vehicle. Above the vehicles is a symbol representing a collision or crash and below the vehicles the word “OFF” is depicted.,This gray dashboard icon depicts two vehicles with a star-like symbol between them and the word 'OFF' below.,gpt-4,
11,23cccc552faa54aa,2,"This dashboard icon depicts a car battery with ""+"" and ""-"" symbols representing positive and negative terminals of the battery. At the bottom, inside the battery, there are waves that represent coolant fluid","This dashboard icon depicts a car battery with '+"" and '-' symbols representing the positive and negative terminals and a wavy line below.",gpt-4,
12,246273d49ccde1f5,2,This white dashboard icon depicts a cup and saucer. Three wavy lines above the cup represent the idea that the cup contains a hot drink.,This dashboard icon depicts a steaming cup of coffee.,gpt-4,
14,293936324a6a2a2a,2,This dashboard icon depicts a dashed straight line representing a lane on the road and to the right of it a slanted top view of a car with a solid line representing another lane on the road. The head of the car is on top of the solid line lane. To the right of all of this is an exclamation mark,This dashboard icon depicts a car crossing over a lane divider with an exclamation mark next to it.,gpt-4,
19,30b068b070786864,1,This white dashboard icon depicts a light bulb above the word “AUTO”,This white dashboard icon shows a headlight symbol with the word 'AUTO' underneath it.,gpt-4,Y
21,310171386ccc114d,1,This amber dashboard icon depicts part of a vehicle as seen from the side. The vehicle's roof is partially retracted.,This dashboard icon depicts a car with an outline of a retractable hardtop roof.,gpt-4,
23,40c0999564ee6a4a,2,"This dashboard icon depicts three lines, two outer solid lines and one dashed line in the middle representing two lanes on the road. o the upper left of the road is a waning crescent moon",This dashboard icon depicts a road with lane markings and a crescent moon above it.,gpt-4,
27,4dccd496868aaa45,2,This green dashboard icon depicts a road with lane markings,This green dashboard icon depicts two parallel lines resembling the lanes on a road,gpt-4,
32,649a9a82bbf93748,2,"This dashboard icon depicts the outline of a car with two arcs that symbolize the blind spot zone in it's bottom left corner and the outline of another car to the bottom left of the arcs. To the right of this, there is also an exclamation mark",This dashboard icon depicts two cars one with lines indicating sensors or signals directed towards the other car and is accompanied by a large exclamation mark.,gpt-4,
33,64f39b6b93dc5c60,2,"This dashboard icon depicts the word ""LIM"" to represent limit with a speed meter on top of the word positioned slightly more left. There is also an exclamation mark to the top right of the word",This dashboard icon shows a speedometer with the word 'LIM' and an exclamation mark next to it.,gpt-4,
40,8961e1d89e1e018d,1,This green dashboard icon depicts a shoe and the vehicle’s accelerator pedal as seen from the side. The foot is touching the pedal.,This dashboard icon depicts a green foot pressing a pedal with an arrow pointing to the left.,gpt-4,Y
41,8b54d49c9294d926,2,"This blue dashboard icon depicts a vehicle headlight with five horizontal lines representing beams of light emanating from the headlight. The letter ""A"" appears next to the headlight","This dashboard icon is blue and shows a headlight with five horizontal lines depicting beams, and the letter 'A' inside the headlight.",gpt-4,
44,9669aaaa4d69b34d,2,"This amber dashboard icon depicts a vehicle headlight with five vertical lines representing beams of light emanating from the headlight. Next to the vertical lines are two arrows, one arrow points to the left and other points to the right.",This orange dashboard icon depicts a headlight with arrows pointing left and right.,gpt-4,
47,9966e4b4b6e4649a,1,"This amber dashboard icon depicts a vehicle fog light with three horizontal lines representing beams of light emanating from the fog light. The horizontal lines are bisected by a vertical wavy line representing fog and the horizontal lines appear to the right of the light, which indicates a rear light.",This dashboard icon features an orange semi-circle with three horizontal lines to its right,gpt-4,Y
49,a916add8d89b24d8,2,This dashboard icon depicts the side view of the front half of a car that is travelling left with a bent star in front of the car to represent a collision. To the right of the car is an exclamation mark,"This dashboard icon depicts a car colliding with a star-like shape, accompanied by an exclamation mark.",gpt-4,
52,b2aa4dd44df09671,1,This dashboard icon depicts a exterior light on a vehicle with lines coming out which represents light. Inside the exterior light is an exclamation mark,This dashboard icon depicts a light bulb with an exclamation mark inside it,gpt-4,
53,b6b1b1313694d962,2,"This dashboard icon depicts a oil jug with a droplet, representing a droplet of oil, that fell from the tip of it. There is a thermometer going into the oil jug from the top to represent the taking of the oil's temperature","This dashboard icon depicts an oil can with a thermometer rising from the center of the can, indicating a connection to temperature",gpt-4,
59,ec91b6acc4d4cc4c,1,"This dashboard icon depicts the back view of a car and to the bottom right of it is a meter representing the speed meter blocking the back right tire of the car. To the right of the car and top right of the meter, there is an arrow that is pointing at the meter. Inbetween the car and the sign and on top of the meter is a circular traffic sign","This white dashboard icon depicts a side view of a speedometer with an arrow pointing to it, alongside a car outline.",gpt-4,Y
